userId,imdbId,rating
1,114709,0.8
1,113228,0.8
1,113277,0.8
1,114369,1.0
1,114814,1.0
1,116367,0.6
1,115734,1.0
1,112573,0.8
1,114287,1.0
1,109370,1.0
1,112851,1.0
1,112508,1.0
1,109445,0.6
1,109686,1.0
1,109707,0.8
1,76759,1.0
1,110912,0.6
1,111282,0.6
1,114694,1.0
1,109444,0.8
1,109830,0.8
1,110213,1.0
1,110475,0.8
1,109303,0.6
1,106677,0.8
1,106977,1.0
1,107290,0.8
1,107614,0.6
1,108052,1.0
1,108174,0.8
1,108333,0.8
1,108358,1.0
1,99348,0.8
1,96895,0.8
1,102926,0.8
1,32910,1.0
1,116282,1.0
1,117060,0.6
1,116683,1.0
1,117705,0.6
1,117500,0.8
1,117998,0.6
1,116629,0.6
1,117628,0.8
1,32138,1.0
1,33467,1.0
1,29843,1.0
1,39420,0.8
1,31679,1.0
1,72951,0.6
1,63819,1.0
1,38166,1.0
1,57546,1.0
1,33563,1.0
1,76538,0.6
1,66817,1.0
1,43274,1.0
1,117887,0.8
1,116409,1.0
1,117802,0.8
1,67992,1.0
1,79470,1.0
1,105236,1.0
1,91763,0.8
1,103772,1.0
1,83866,1.0
1,96754,0.8
1,71853,1.0
1,80684,1.0
1,93779,1.0
1,82971,1.0
1,66921,1.0
1,78788,0.8
1,86190,1.0
1,99685,1.0
1,78748,0.8
1,54215,0.4
1,80455,1.0
1,93058,1.0
1,97499,1.0
1,45061,1.0
1,88247,1.0
1,23969,1.0
1,81505,0.6
1,107048,0.8
1,88763,1.0
1,91203,1.0
1,72431,1.0
1,32455,1.0
1,97576,1.0
1,84503,1.0
1,13442,0.8
1,103776,0.6
1,105435,0.6
1,104691,0.6
1,119640,0.6
1,118702,0.8
1,119229,0.8
1,118655,1.0
1,118880,0.8
1,119094,1.0
1,119654,0.6
1,82198,1.0
1,119488,1.0
1,119468,0.8
1,119174,1.0
1,119345,0.6
1,120201,0.6
1,118715,1.0
1,120888,0.8
1,120491,0.8
1,120769,1.0
1,120890,0.8
1,122718,0.8
1,20629,1.0
1,75148,1.0
1,91369,0.8
1,93409,0.8
1,89218,1.0
1,99088,0.8
1,34492,1.0
1,120815,0.8
1,88814,1.0
1,91059,0.8
1,91149,1.0
1,97523,0.8
1,120768,1.0
1,61852,1.0
1,76618,1.0
1,89908,0.6
1,102803,1.0
1,53285,0.8
1,38969,0.8
1,84827,0.8
1,87469,1.0
1,77869,1.0
1,70016,1.0
1,84649,1.0
1,90633,1.0
1,89469,0.8
1,88323,1.0
1,94721,0.8
1,96446,0.8
1,105629,0.4
1,104257,0.8
1,120812,0.8
1,99487,1.0
1,120586,1.0
1,130018,0.4
1,120660,1.0
1,24216,0.8
1,124198,1.0
1,155975,0.4
1,128445,1.0
1,88011,0.8
1,90357,0.6
1,120863,1.0
1,91225,0.8
1,72271,1.0
1,90555,1.0
1,92086,0.8
1,138987,0.8
1,151804,1.0
1,74812,0.6
1,63442,1.0
1,120735,1.0
1,133093,1.0
1,139239,1.0
1,133189,1.0
1,99422,0.8
1,120616,0.4
1,120915,0.8
1,78346,0.8
1,81573,1.0
1,21814,0.8
1,21884,0.8
1,34398,1.0
1,73629,0.6
1,130827,1.0
1,158983,1.0
1,87332,1.0
1,129167,1.0
1,94737,0.8
1,120657,0.8
1,169547,1.0
1,82348,1.0
1,31397,1.0
1,100802,0.8
1,61578,1.0
1,58150,1.0
1,57076,1.0
1,55928,1.0
1,137523,1.0
1,93870,0.8
1,96438,1.0
1,70328,1.0
1,59800,1.0
1,120601,0.8
1,94012,1.0
1,70608,1.0
1,120655,1.0
1,151137,1.0
1,56197,0.8
1,120689,1.0
1,64276,0.8
1,134119,0.2
1,104187,0.6
1,105417,0.6
1,105793,1.0
1,134084,1.0
1,102138,1.0
1,103060,0.8
1,108308,0.8
1,87985,1.0
1,93105,1.0
1,107050,1.0
1,89457,0.8
1,102057,0.8
1,93773,0.8
1,172495,1.0
1,215129,0.8
1,71807,0.8
1,71230,1.0
1,79501,1.0
1,82694,1.0
1,67741,1.0
1,90728,0.8
1,162650,0.8
1,120903,1.0
1,103241,0.8
1,92106,0.8
1,66026,1.0
2,111161,0.6
2,114694,0.8
2,119217,0.9
2,172495,0.8
2,266697,0.8
2,369339,0.7
2,415306,0.8
2,407887,0.8
2,468569,0.9
2,838283,1.0
2,361748,0.9
2,1156398,0.6
2,1130884,0.8
2,1587707,0.6
2,1375666,0.8
2,840361,0.9
2,1645089,1.0
2,1421373,0.8
2,1291584,1.0
2,1345836,0.7
2,1568346,0.5
2,1853728,0.7
2,993846,1.0
2,816692,0.6
2,2582802,0.8
2,1600196,0.4
2,470752,0.7
2,1392190,1.0
2,4299972,1.0
3,112792,0.1
3,108052,0.1
3,115956,0.1
3,114048,0.1
3,118114,0.1
3,116225,1.0
3,58385,0.1
3,101761,0.1
3,82846,0.1
3,77416,0.1
3,66206,0.1
3,91203,0.7
3,97351,0.1
3,79945,0.6
3,82198,0.9
3,34492,0.1
3,48280,0.1
3,76618,0.1
3,84827,0.4
3,84787,0.8
3,128853,0.1
3,81454,1.0
3,78087,0.9
3,83929,0.1
3,82694,1.0
3,180093,0.1
3,95488,1.0
3,281373,0.1
3,80836,1.0
3,82431,1.0
3,82677,0.9
3,83557,1.0
3,99699,0.1
3,82000,1.0
3,72913,0.9
3,72856,1.0
3,78062,0.9
3,105643,1.0
3,1190080,0.1
4,113161,0.6
4,114746,0.4
4,114681,0.6
4,114369,0.4
4,113819,0.6
4,110877,0.6
4,110251,0.8
4,116324,1.0
4,110647,0.2
4,109508,1.0
4,113464,0.6
4,113677,1.0
4,114323,0.4
4,112471,1.0
4,112679,0.2
4,111797,1.0
4,109707,0.4
4,110005,0.6
4,76759,1.0
